Reporter_Organization,ASRS_Report_Number_Accession_Number,Reporter_Organization_1,ASRS_Report_Number_Accession_Number_1,Narrative,Narrative_1,Synopsis,Fuente
Air Carrier,1628242.0,Air Carrier,1628235.0,"We were told after takeoff that we had dry ice in cargo pit 2, we did not get any notification by way of a DG form, [and] it was not noted on the final weights or on the service form. We were told it was less than 4 lbs, but might have been listed as less than 1lb. We had no animals in the pit.","After takeoff we were informed via ACARS that we had dry ice in cargo pit 2. We received no prior notification on a DG form, it was not noted on the final weights or on the aircraft service form. We were told it was less than 4 lbs but might have been listed as less than 1 lb. There were no animals in cargo pit 2. There were no issues as a result of this.",A320 flight crew reported receiving Dispatch notification during cruise of Hazmat [Dry Ice] loaded on aircraft without providing NOTOC [Notice to Captain] prior to departure.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1629292.0,,,During climb-out the Captain's airspeed and altimeter failed along with an oral warning. Performed QRC and then QRH procedures for Unreliable Airspeed. Climbed above IMC conditions and proceeded to nearest suitable VMC airport. During descent the EEC (Electronic Engine Controller) Alt annunciators illuminated when Recal selected. [Coordinated with ATC] and landed uneventfully.,,B737-800 flight crew reported failure of airspeed and altimeter instruments on climbout.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1629445.0,Air Carrier,1629454.0,"While in level flight at FL250 with autopilot and autothrottles ON, seat belt sign ON, in the vicinity of SAYLR on the SEEVR4 RNAV Arrival, we felt some light chop/turbulence and then the aircraft suddenly rolled left approximately 35 degrees angle of bank (we got the 'Bank Angle' aural warning). As pilot flying I disconnected the autopilot and rolled back to wings level and corrected back to FL250 and on course to SEEVR. We lost approximately 150 feet in altitude during the event, and notified ATC of the event and deviation. We asked ATC what type aircraft was in front of us, and were told that it was a '777.' Flight attendants reported no passengers were up at the time of the event, no passenger or flight attendant injuries, and no complaints from the passengers. Continued on and landed uneventfully at DFW.I am not sure of how/why this event occurred. It may have been that we descended to FL250 faster than the B777 in front of us, which could have put us in their wake vortices in level flight. Possibly consider wake turbulence separation in flight by not only distance and airspeed, but also by vertical speeds/rate of descent/climb. Continue simulator training in upset/unusual attitude recovery.","Enroute to DFW nearing the arrival, level at FL250, the aircraft rolled hard left, the bank angle alerted. Pilot flying disconnected autopilot, rolled wings level and returned to assigned altitude. Approximately 200 foot altitude loss, bank angle near 35 degrees. Advised ATC of the event, they responded nothing was noticed by them of our action. Asked what we were following. They advised it was a 777. The pilot flying then passed pilot flying duties to me. He then contacted the cabin crew of the event to inquire if anything happened within the cabin. No effects reported. No more further event took place.The aircraft ahead of us was about 12 miles ahead descending. Wind direction was left to right, slightly off our course. [I] can only speculate the 777 was above our path, descending, and his wake descended into our path.Continue good situational awareness to hope to notice aircraft while autopilot on when wake turbulence occurring. Very grateful for our continued training of unusual attitude training in recurrent training.",B737-800 flight crew reported encountering wake turbulence from preceding B777 approaching DFW.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1629823.0,,,"For the third time in less than 30 days, I have been flying the KORRY 4 Arrival into LGA and Washington Center has given us a clearance to cross RIDGY at FL 270. The crossing altitude for RIDGY published on the KORRY 4 STAR is 'at or above' FL 270. The first time I was given this clearance, we had just briefed the STAR, and I put FL 270 into the MCP and verified VNAV PATH. As we got closer to RIDGY, I realized the aircraft was not descending because the FMS was programmed for RIDGY at or above 270. We made the necessary corrections and we were able to comply with the clearance to cross RIDGY at 270. Since that first encounter, I have now had this same clearance given to me two more times. If Washington Center wants aircraft to cross RIDGY at 270, then the STAR needs to be changed to reflect that expectation.",,B737-700 Captain reported Washington Center appears to be consistently changing the crossing altitude at RIDGY on the KORRY 4 arrival into LGA and would like to see the chart changed to reflect that.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1629905.0,Air Carrier,1629932.0,"First flight of the day checks. I was the PF (Pilot Flying). Normal brief, push, start and taxi to Runway XXR. On TO roll PM (Pilot Monitoring) noticed that the Number 1 Engine EPR was higher than Number 2 Engine EPR reading. All other engine indications were normal. On climb out and at 800 feet CL detent was selected. No change to the EPR on the Number 1 Engine. Number 2 Engine responded normal. ECAM directed to Engine Number 1 master switch OFF. Normal shutdown. PF confirmed correct master switch. [Coordinated with ATC]. Vectors for a 15 mile visual backed up with ILS Rwy XXR. TEST brief with FA's (Flight Attendants). No evac. Text to [Dispatch, advising of the single-engine return]. ARFF (Aircraft Rescue and Fire Fighting) met aircraft on runway. Nothing noted. Followed aircraft to gate.","During the takeoff roll I noted that the EPR on engine 1 was well above what it should have been and also well above what engine 2 EPR was. All other engine parameters were normal. We determined that the safer course of action was to continue. After takeoff when the PF (Pilot Flying) set the thrust levers to the climb detent, there was no change in the engine 1 EPR. In fact, the EGT and N1 indications had now started to climb. The beta target on my PFD also indicated a yaw to the right, indicating engine 1 was producing much more thrust than engine 2. We then got an engine ECAM that related to fuel. I'm not sure what the exact title of the ECAM was. At the same time the ECAM popped up the PF had started pulling the engine 1 thrust lever to idle. There was no response from the engine. The next item on the ECAM was engine 1 master off. We confirmed I was about to shut down the number 1 engine and then completed the ECAM. We [coordinated with ATC] and returned to the field and then to the gate.",A320 flight crew reported engine anomaly on climbout resulting in shutdown and return to departure airport.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1630909.0,,,"We were on the ZPLYN 3 RNAV Arrival for Runway 17R, but then DEN Approach changed the runway to 16L and maintain 280 KTS or faster. We proceeded to change our runway in the FMC. The box was little slow for some reason [and] that left us little high at JPAGE Intersection. JPAGE crossing was between 17,000 feet - 15,000 feet and we were at 17,900 feet. We did inform the Controller about it and she said it was ok.",,B737 NG Captain reported failure to make a crossing restriction on the ZPYLN3 RNAV arrival into DEN following a late runway change.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1631314.0,Air Carrier,1631955.0,"During the takeoff roll from [Runway] XXR in ZZZ, the aircraft glareshield began shaking as if there was nosewheel shimmy and the Captain (Pilot Monitoring) held the glareshield to stop the vibration. Almost simultaneously at the rotate callout, there was a load bang heard just beneath the flight deck. First Officer (Pilot Flying) suspected a nosewheel tire blowout and elected to leave the landing gear down. Pilot Monitoring asked Tower if there was debris on the runway and they did confirm there was tire debris on the runway. We received vectors to the west and were assigned to hold at BLOND to burn fuel and to discuss a plan of action.We took off with 36,400 pounds of fuel, so we had over 20,000 pounds of fuel to burn to be under maximum landing weight. With the landing gear down, flaps 5 at 6,000 feet and 230 knots, it would have taken over 2 and a half hours of holding to burn the fuel. While holding, we discussed our plan with Dispatch to return to ZZZ. We elected to conduct a low approach at ZZZ to see if the Tower could verify which tire had failed; however, they were unable to see which tire had failed. We then returned to holding at BLOND to finalize our plan and to burn more fuel. In agreement with the Dispatcher and the [Chief Pilot], we elected to accept an overweight landing on [Runway] 1L at ZZZ. The plan was to make a full stop on the runway and have Crash Rescue assess the status of the aircraft and to have the aircraft towed from the runway to prevent any further damage to the nose gear or engines. The Captain (Pilot Monitoring) elected that he would land the aircraft due to the potential for loss of directional control since he had the tiller. The landing weight of the aircraft was 136,300 pounds and was an uneventful landing to a full stop with no loss of directional control. Crash Fire Rescue initially stated that they did not see anything wrong with the tire; however, we asked them to take a close look, at which time they noticed the right main tire was missing the tread. At this time, we shut down the engines and were towed from the runway to the pad where the passengers were offloaded onto buses and returned to the terminal. Upon inspection, the failed tire caused damage to some support brackets and wiring on the aft side of the nosewheel and the undercarriage of the aircraft had several dents from the tread that came off.","On takeoff (at rotation speed), we heard a loud thump coming from just below the flight deck. We suspected that we may have damage to the nose wheel and elected not to retract the landing gear. No other irregularities (engine or hydraulic) occurred. [Advised ATC] and we went into a holding pattern to coordinate with Dispatch and to brief the flight attendants and inform the passengers. In discussions with Dispatch, we agreed that a landing back at ZZZ would be the best (and safest) option. Before landing back at ZZZ, as an extra precaution, at 1,600 feet we went by the ZZZ Tower so that they might be able to assess the extent of the damage. The Tower could not determine the extent or if there was damage. Before returning back to airport for landing, we went back into the holding pattern to brief the approach, brief Flight Attendants, and to coordinate with Dispatch and ZZZ Ops with regards to ground handling of the aircraft and deplaning of Passengers. We made a soft touchdown on Runway XXL and stopped on the runway. The landing was uneventful and did not feel any unusual characteristics during roll out. The aircraft was met by CFR and ZZZ Maintenance. Maintenance determined there was damage to the right nose tire. The aircraft was towed to remote parking and all passengers were safely deplaned. We landed at a weight of 136,300 pounds and an overweight logbook entry was made.",B737-700 flight crew reported a failure of their nosewheel on takeoff.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1631442.0,Air Carrier,1631571.0,"We were expecting to land runway 35R at DEN. We had already set up and briefed the ILS 35R CAT III. While descending through FL180 we were told to expect ILS 35L. We then set up and briefed the ILS 35L CAT III. We were on the BOSSS2 RNAV arrival which transitions into the approach. As we passed BOSSS we received an FMC alert saying the approach and frequency does not match. The airplane started turning right and descending for ILS 35R instead of staying at 12,000 feet like it should have for 35L. We immediately selected altitude hold and heading select and turned back on course. We told Denver Approach what had happened and asked if we needed to climb back up to 12,000 feet. He said it was no problem and told us to descend and maintain 10,000 feet.While re-briefing the approach we did not catch that the FMS still had the previous approach loaded. A contributing factor was that we are still trying to get familiar with our new checklists and flows. This runway change happened last minute while we were performing our descent checklist and before landing checklist. Denver field elevation is 5,434 feet, so our before landing checklist that begins at 10,000 AFL came quickly after passing FL180.When briefing an approach, always make sure the FMS is loaded with the correct approach.",[Report narrative contained no additional information].,B737-800 flight crew reported a track deviation occurred on the BOSSS2 RNAV arrival into DEN when the FMC was improperly programmed following a late runway change.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1631506.0,,,[I was] advised a flight attendant experienced fume event.,,A320 Captain reported being notified a Flight Attendant had experienced a fumes event.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1632023.0,,,"On climb out through approximately 15,000 feet,the aircraft started to bounce/oscillate up and down. This was not normal and was unsettling. The elevator had been inspected due to a prior occurrence of the same thing. The oscillations could not be felt in the control column. We [advised ATC] and returned to ZZZ uneventfully.",,B737 First Officer reported uncommanded elevator movement in flight.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1632359.0,,,Flight attendants said they all smelled something burning in the aft galley. ZZZ was the closest airport and we diverted there.,,B737-700 First Officer reported flight attendants informed flight crew of burning smell in aft galley.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1632709.0,,,"On approach to ZZZZ Runway 11 descending through 8,800, the flight attendants reported the odor of chemical smoke (fumes) in the cabin by door 2L. They did not report seeing any smoke. We asked them to look in the lavatory and at the fluorescent lights. They reported that they were unable to identify the source of the odor. We advised them to monitor the area as we were minutes from touchdown. Upon clearing the runway, our relief pilot immediately entered the cabin to determine the source of the odor. He reported that any odor had disappeared and that the flight attendants agreed with his conclusions. We taxied to the gate without incident.",,B777 Captain reported being informed by flight attendants of chemical smoke fumes in the cabin during approach.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1633043.0,,,"We were told to line up and wait. [A] 757 took off in front of us. We were then cleared for takeoff within approximately 1 minute behind the 757 and given an assigned heading. We were approximately 500 feet, but less than a thousand and encountered wake turbulence. The Captain had full left aileron to counteract the roll and we were unable to turn to the assigned heading until we were out of the wake. We advised ATC that we were in the preceding aircraft wake turbulence. We were then advised by ATC to contact Departure.",,B737-700 First Officer reported encountering wake turbulence shortly after takeoff from LAX behind a B757 that required full aileron deflection.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1633050.0,,,"We were descending to 6,000 feet on the RNAV Arrival. During the descent, we got cleared to an intersection and to cross it at 3,000 feet. The First Officer selected 3,000 feet and hit LVL CHG. We then got cleared for the RNAV Approach. He verified 3,000 feet in FMC and set 1,500 feet in the altitude selector. ATC also wanted us to maintain 250 knots until advised. I was concerned with Class B airspace and the 210 restriction at a fix, so we discussed the airspeed issue and missed the fact that we were not in VNAV. The aircraft descended below 3,000 feet prior to the fix and ATC asked us about it. We immediately climbed back up to 3,000 feet and crossed the fix to comply with the clearance. We continued the approach with no further issues and landed safely.",,B737-700 Captain reported ATC assigned airspeed 250 kts below the ORD Class B airspace on an RNAV arrival into the ORD area.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1633055.0,,,"We were cleared to descend via the PURRL2 RNAV STAR into DEN and were told to expect Runway 35R. As the pilot monitoring, I set 9,000 feet in the altitude window and the pilot flying engaged the managed descent mode and we started our descent. Just prior to crossing the waypoint DANDD, the pilot flying was entering data into the secondary flight plan in the hopes that we would be approved to land on Runway 35L. He accidentally activated the secondary flight plan which dumped the PURRL2 STAR and the airplane failed to make the required turn at DANDD. Also, because the altitude window still had 9,000 feet the airplane continued to descend. The pilot flying is very new to the Airbus (still a high minutes Captain) and he struggled to identify what had just happened. He was attempting to re-load the arrival into the FMC when I noticed what was going on and asked him what happened. He replied that he didn't know what happened but I could see that the RNAV arrival was no longer loaded in the FMC and that the airplane was no longer flying the PURRL2 as we had been cleared. I took over FMC programming duties as the Captain placed the airplane in heading mode in an effort to return us to the course but ATC called us stating that we were 2 miles north of course. By this time, the PURRL2 Arrival had been successfully re-loaded into the FMC but we failed to identify that the airplane was still descending below the constraint on the arrival. Once again, ATC called to state that we were below the required altitude and they vectored us off of the arrival giving us a heading and altitude to fly. The entire deviation lasted approximately two minutes but enough time to fail to make a required turn and fail to level off at the correct altitude. The remainder of the arrival to Runway 35R was uneventful.",,A320 First Officer reported track and altitude deviations occurred on the PURRL2 RNAV arrival into DEN when the FMC was accidentally mis-programmed.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1633069.0,,,"Started the ZPLYN arrival into Denver at a lower altitude than typical (FL260). A lead aircraft 8 to 10 miles ahead descended in front of us. Winds aloft were light and on the nose. Air was smooth. We encountered the wake of this aircraft with maybe a 10 degree momentary left wing down roll. After the encounter, I asked the flight attendants if they were ok. They reported that they were fine.",,B737NG Captain reported encountering wake turbulence on the ZPLYN THREE (RNAV) arrival into DEN at FL260.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1633420.0,,,Rolling out on final over CHUMR in the descent to cross at 500' we simultaneously got a low altitude alert call out from tower and an aural 'Caution Obstacle' from the jet. We were on the stadium visual arrival to runway 29 due to strong and gusty winds out of the west. We had the RNAV 29 loaded flying a manage-managed approach with autopilot and auto thrust OFF. We were slightly above the vertical profile and on the lateral course at the time of the incident. I immediately leveled off until the situation was reconciled and was able to recapture a normal visual glide path. The approach was continued to a normal landing.,,A320 First Officer reported EGPWS alert during approach.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1633435.0,,,"In final turn for visual Runway 29 at night at 600 ft pointing at North Bridge fully configured exactly on vertical profile, ATC issues low altitude alert followed by EGPWS caution obstacle call out. Bridge tower was in sight so we continued.",,A320 Captain reported receiving low altitude alerts on approach and continued with obstacle in sight.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1634156.0,Air Carrier,1634142.0,"In cruise at FL290 approaching ZZZZ1, the First Officer and I noticed the left engine oil quantity at 1 quart and the left engine oil pressure slowly dropping, while the right engine remained stable. We called dispatch immediately and had a phone patch to [Maintenance Control] to discuss the issue. The oil pressure continued to drop during our roughly 3 minute discussion. Based on our current position, we all agreed the safest and most prudent course of action was to divert back to ZZZZ. The First Officer immediately called for the 2 Relief Officers, who were currently on break, to return to the cockpit. Everyone was briefed on the situation, as we had already turned back to ZZZZ. We informed the Purser of the issue and asked they begin picking up all trays and secure the cabin for landing in approximately 55 minutes. We also informed the passengers of our return to ZZZZ because of the situation. As we continued toward ZZZZ, the oil pressure continued to drop. We then [advised ATC] with ZZZZ1 ATC as it was becoming apparent we would eventually be shutting down the left engine, wanting priority handling to ZZZZ. We also began dumping fuel, which took 31 minutes to complete, to get us below an overweight landing situation. When the right engine pressure dropped to 14, we elected to disarm the left auto throttle and bring it to idle. We descended to FL240. Within 3 minutes of descending, the oil pressure was reading 9, the oil quantity was 0, [using] the ECL [Electronic Checklist] [for] the Engine Shutdown Checklist. We shut the left engine down as per the checklist. The Purser was notified of the current situation (TEST) and prepared the cabin as necessary. We asked ZZZZ Center to coordinate fire trucks at the airport for our return. We briefed an ILS to [Runway] 16R single engine auto land approach. We landed in ZZZZ without incident, taxied to a hardstand gate and deplaned passengers to buses. The ZZZZ Aviation Authority came on board the aircraft, asked us to write an incident report and took photos of our licenses and medicals before releasing us to leave the aircraft. I spoke directly with the [Maintenance Control] and Dispatch just prior to ZZZZ authorities boarding the aircraft, recapping the entire incident. [We] debriefed with our local mechanics of the engine issue and parameters we encountered prior to shutting down the left engine before leaving the aircraft and returning to the hotel. The incident began 53 minutes into the flight. We were back in ZZZZ in less than 1 hour after the incident began.","Preflight, taxi, and take-off accomplished uneventfully. Relief Officers released to rest areas. Approx. 45 mins later, flying crew requested relief crews to return to cockpit due to system malfunction. Left engine oil quantity had reduced to 0 quarts and oil pressure was slowly decreasing below 29psi. Continued to decrease at a rate of approx. 1 psi per minute. Decision was made to return to ZZZZ1. Engine shutdown accomplished in accordance with FM and single engine approach and landing planned. [Advised ATC] in accordance with [Company] FOM with ZZZZ Control. Hand-off to ZZZZ1 ATC uneventful. Several questions answered to appraise ATC of situation, and what our intentions were. Company was notified, and pertinent coordination accomplished. Checklists were accomplished in accordance with 777 FM and [Company] FOM. Flight attendants were brought up to speed with the situation as quickly as possible as the situation developed. Numerous PA announcements were accomplished in order to keep passengers informed and to relieve any unnecessary anxiety. Company sent several requests for information and suggestions late in the situation. Caused minor distraction, and crew determined that communication could wait until safely on the ground. Captain continued to function as Flying Pilot where she uneventfully executed auto land on Runway 16R at ZZZZ1. We taxied clear of runway and proceeded to hard stand where we shut down the aircraft and accomplished terminations checklists. Uneventful. Coordination accomplished to transport. Passengers to terminal building. Uneventful. Captain did a great job of handling the situation and fully utilizing as many resources as possible. Delegated duties and kept everyone engaged. Good job. ZZZZ1 ATC /FAA requested statements and were given by pilots. Upon external inspection of left engine, it appeared that a piece of material, maybe heat shielding was lodged in very aft exhaust hole on left engine.",B777 flight crew observed low oil quantity and shutdown engine and returned to departure airport.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1634161.0,,,FL320 SLOP (Strategic Lateral Offset Procedure) R1. We were behind a wide body aircraft. Started to encounter wake turbulence. We moved to SLOP R2. A little while later the wind shifted just enough all of the sudden we encountered moderate wake turbulence. Pilot flying put in SLOP R3 to avoid any possible severe wake turbulence. We were distracted momentarily with the turbulence issue and seating everybody. We did not get to notifying ATC of the R3 deviation in a timely manner. A few minutes later were informed via CPDLC about the deviation via ADS-B. We immediately returned to SLOP R2 which did keep us out of the wake from the preceding aircraft at this time.,,B777-200 Captain reported encountering wake turbulence from a preceding wide body aircraft in cruise flight over the North Atlantic.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1634537.0,Air Carrier,1634558.0,"While at FL410 we experienced a Cabin Altitude Warning horn and light. We donned O2 mask and established communication. We followed the QRC checklist and were able to get the cabin to stabilize at approximately 10,200 feet. We had no green ALT light on the pressurization control panel leading us to believe we had a dual controller failure. We followed the Emergency Descent QRH and advised ATC and Dispatch of our intentions. We chose [a nearby alternate] as a diversion point. The cabin began to be in the normal range as we went through about 15,000 feet. We landed without incident.","I think the Captain and I handled the situation in a cool and collected manner. After finishing the checklists, I mentioned that I should have waited for the Captain to respond with the appropriate calls per the checklist in use. I would read the item and response with the appropriate call. He agreed but said that given the nature of what was going on with us in a rapid descent, he felt it went well, and that the checklists were accomplished correctly and in the proper order. I would like to note also that once you are lead to an emergency descent, it never takes you back to the other checklist, the Cabin Altitude Warning, which has an important step of modulating the outflow valve to open by pattern altitude. The Captain mentioned that and we did modulate it on our own to full open by pattern altitude.",B737-700 flight crew reported diverting to an alternate airport after experiencing loss of cabin pressure at FL410.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1634589.0,Air Carrier,1634618.0,"Just prior to the IAF on RNAV (RNP) Z Runway 35R, I thought I heard (and read back) 'Expect RNAV 35R.' I then queried whether ATC said cleared the approach, to which they answered 'Affirmative, cleared the approach.' We set the final approach fix altitude and just as we were passing the IAF noticed that we had not closed the discontinuity between the arrival and the approach. The aircraft did not follow the lateral line of the approach and we requested vectors for final. The remainder of the approach and landing was uneventful.",[Report narrative contained no additional information.],B737 NG flight crew reported a track deviation occurred on the RNAV (RNP) Z approach to 35R in DEN when they failed to notice a discontinuity in the FMC programmed route.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1635136.0,,,"Drone 3,300 feet abeam Cohas ILS 33L BOS within a mile; ATC [was] notified.",,A320 Captain reported UAV less than 1 mile abeam the ILS.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1635521.0,,,"Cleared for visual 13L descend to 2,000 feet was the clearance from ATC. Left 3,000 feet for 2,000 feet only aircraft on approach so there was no relevant traffic. We kept our speed up and ATC asked our speed after we leveled at 2,000 feet and I immediately thought we might be under the Class B Airspace. I saw ADS airport out the window and thought this was surely too fast. After landing I pulled the terminal chart out and saw that indeed there is a carve out for ADS at 2,000 feet North of DAL.It might be helpful to add a note on the airport page to use caution for being below Class B in this area. Not making excuses.",,B737-700 Captain reported exceeding 200 kts below Class B airspace during arrival into the DAL area.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1636685.0,,,"After turning final for the visual approach to Runway XX at around 2,000 feet at 170 KIAS and flaps at 3, I called for gear down and shortly after, we received an L/G Gear not down-locked ECAM. The Captain (PM, Pilot Monitoring) called for a go-around which I executed and we informed Tower we had a gear problem. I continued the go-around, leaving the gear extended and accelerated and called for the flaps to be retracted to 1. I maintained 170 KIAS and climbed to 3,000 turning to a southeasterly heading (130?) as directed by Tower. I reengaged the autopilot and took over ATC radios as the PM Captain began running the ECAM. Running the ECAM basically entails recycling the gear which was unsuccessful. We then proceeded to the L/G Gravity Extension checklist. This checklist basically involves turning the gear hand crank 3 turns to the mechanical stop. This was also unsuccessful. I reached down and verified the hand crank was at the stop.At this time, we initiated a 'Dispatch Call me' and the Captain began discussing options with Dispatch and [Maintenance Control]. During this, I inquired about fuel (I think we had about 6,200 LBS) and we decided we would burn down to 4,000 prior to landing. I also coordinated a flyby of the tower so they could see the gear. During that flyby, tower said the gear appeared down and straight.I did not hear much of the conversation with Dispatch and [Maintenance Control], but we then moved to the Landing with Abnormal Gear checklist. The Captain ran this while I maneuvered first in the Tower pattern and then out to an extended final. As the checklist was finishing I mentioned we were getting close to 4,000 LBS, so we decided to take a turn to the runway. Since I had been flying we elected to have me do the landing which basically involves landing and holding off the nose until just prior to loss of elevator authority. We also discussed the need to maintain below 1,000 PSI on the brake pressure during the stop. The checklist also mentions moving passengers aft, but since we were close to full that was not an option.I re-configured normal full flap and landed, holding off the nose and gently lowering it to the runway. The full stop was uneventful.After landing, fire and rescue met us as well as [Company Maintenance]. Upon inspection of the nose gear, Maintenance informed us that it was not over center and they could not put the pin in to be towed to the gate. Initially we were going to put jack the nose up, but that was deemed too dangerous with passengers on board and the relatively gusty wind conditions. We then elected to put a jack under the nose to prevent collapse and deplane the passengers via 2L and air stairs and bus them to the terminal. All this coordination took well over two hours.",,A320 First Officer reported landing with an unsafe gear indication.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1637007.0,,,"Climbing through FL380, we observed significant wing tip vortices and wake turbulence approaching our flight path. Anticipating possible aircraft upset I quickly turned off course to avoid, but did not have time to notify ATC until after initiating the turn. ATC called us to inquire about the turn as we were about to notify them. We turned back on course after avoiding the wake turbulence.Initially we believed we were going to avoid the wake turbulence, but it quickly moved towards our flight path. I should have been more conservative and requested a turn from ATC earlier to avoid even the possibility of encountering the wake turbulence.",,"B737-700 Captain reported a track deviation occurred when he turned to avoid visible indications of wake turbulence, which did not allow enough time to coordinate with ATC.",ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1637623.0,,,"During night VMC conditions, we were assigned to fly the VOR GPS B approach to 31L at PSP. This approach, we were told, was the only authorized approach into PSP due to a radar outage. We requested the RNAV Y (RNP) and were told 'unable' by ATC. This VOR approach that was flown had many threats embedded in it. This being the first time having flown this approach, I was unaware of its complexities. First, the approach makes you remain over 700 feet high on the 3 to 1 glide path at the final approach fix. We recognized this and configured early. The approach is also offset which places the aircraft in a trajectory toward rapidly rising terrain and a necessary descent rate of 1,900-1,500 FPM just to 'capture' the VASI. The outcome of the approach was successful without any GPWS alerts and we achieved stabilized approach criteria just in time to meet our 500 feet gate. It was a 'scramble' to achieve and certainly had many distractions such as trying to capture the glide path from above, rapid descent toward terrain and realigning with the runway. It seems to me that no CAT C or D aircraft should attempt this approach as you begin at the final approach fix way behind the stabilized approach criteria gate, I.E., not in landing configuration and on glide path. Again, it leaves you 700 feet too high.On the ground, we queried ATC why we could not have flown either the RNAV visual or RNAV RNP and he stated it is the Local Control Tower policy to only allow VOR GPS B approaches to be flown during radar outages. There are no other restrictions on flying the RNAV's except 'local policy.'In the future, I would strongly urge [Company] to restrict our aircraft from flying the VOR GPS B as having seen it first hand, it is an approach with too many threats and a set up for failure (being forced to remain 700 feet high at final approach fix). I would not feel comfortable accepting this approach again.",,B737 First Officer reported the VOR OR GPS-B approach to PSP increases the flight crew's workload and has the potential of creating an unstable approach for this category aircraft.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1637644.0,Air Carrier,1637624.0,"We were reassigned last minute to this flight due to [Out of Duty time] timeout from previous flight block time. We both had a lot of problems getting our paperwork from pilot mobile. The flight didn't auto populate like usual, we had to manually enter the flight number, origin, and select all flight to get finally get the paper work. Upon downloading the release, we realized the prior Captain has already signed for it. Captain placed a call to Dispatch, and the Dispatcher manually enter the required info and said it was successful. During review of the release, we both saw there was a previous write up with the right tank indicator showing 9,000 LBS. After pushback and start, we were informed fuel pouring out of the right vent. We elected to shut down and tow back to the gate. [Maintenance logbook] writeup was entered and Maintenance came to test the valve. It passed the test and tank was sticked to confirm quantity. Aircraft was release for flight. During climbout, FA (Flight Attendant) called to inform us a customer reporting fuel streaming out of the wing since initial right turn out of ZZZ. We stopped our climb and investigate. A call was placed with Maintenance control. We informed them of the issue and that we were concerned with the leak, quantity, and thinking about air return. Discussion was made and Maintenance said to go ahead and air return. [ATC was notified] and we landed normally slightly overweight at 148.0. Overweight landing and fuel leak writeup was entered into [logbook].",[Report narrative contains no additional information.],B737 flight crew reported a passenger spotted fuel leaking from the wing.,ASRS_DBOnline_2018_2022.xlsx
Air Carrier,1637931.0,,,"On climbout from Los Angeles on the Summer 1 Departure, ATC cleared us direct DINTY after passing OLOF. We were approximately 12 miles in trail and ATC asked us to slow to 280/ Mach .77 for in trail spacing.At approximately DINTY fix, we encountered wake turbulence while the seatbelt sign was off. I ordered the flight attendants to take their jump seats and put the seatbelt sign on making an announcement.As the wake turbulence continued, we asked ATC for a 5 mile offset. The turbulence was moderate and a resultant severe roll of 40 [degrees] occurred before I disconnected the auto pilot and veered towards the offset quickly.Smooth air returned and we checked the flight attendants. No one was hurt, although the Lead Flight Attendant, upon coming to the cockpit later, mentioned that often time stiffness will occur the next day, but once again we were told no one had been injured or fallen.",,B737NG Captain reported encountering wake turbulence at FL350 climbing out of LAX.,ASRS_DBOnline_2018_2022.xlsx
