operatorcontrolnumber,difficultydate,submissiondate,operatordesignator,submitterdesignator,submittertypecode,receivingregioncode,receivingdistrictoffice,sdrtype,jasccode,natureofconditiona,natureofconditionb,natureofconditionc,precautionaryprocedurea,precautionaryprocedureb,precautionaryprocedurec,precautionaryprocedured,stageofoperationcode,howdiscoveredcode,registrynnumber,aircraftmake,aircraftmodel,aircraftserialnumber,aircrafttotaltime,aircrafttotalcycles,enginemake,enginemodel,engineserialnumber,enginetotaltime,enginetotalcycles,propellermake,propellermodel,propellerserialnumber,propellertotaltime,propellertotalcycles,partmake,partname,partnumber,partserialnumber,partcondition,partlocation,parttotaltime,parttotalcycles,parttimesince,partsincecode,componentmake,componentmodel,componentname,componentpartnumber,componentserialnumber,componentlocation,componenttotaltime,componenttotalcycles,componenttimesince,componentsincecode,fuselagestationfrom,fuselagestationto,stringerfrom,stringerfromside,stringerto,stringertoside,wingstationfrom,wingstationfromside,wingstationto,wingstationtoside,buttlinefrom,buttlinefromside,buttlineto,buttlinetoside,waterlinefrom,waterlineto,cracklength,numberofcracks,corrosionlevel,structuralother,discrepancy
FDEA201308191958,8/19/2013 0:00:00,8/21/2013 13:27:05,FDEA,FDEA,A,CE,23.0,A,5744.0,O,,,K,,,,IN,V,522FE,DOUG,MD11F,48476,69363.0,11324.0,,,,,,,,,,,DOUG,HINGE FITTING,ARC0154501,,CORRODED,ZONE 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LT WING INBD FLAP OTBD FWD (WING SIDE) HINGE PIVOT BORE HAS CORROSION. FOUND EXCEEDED LIMITS IAW CMM 57-44-07, REV 76. REPAIRED IAW EA 1-5750-104702C, PART 2, STEPS 1, 2 AND 3. REPAIR CLASSIFIED MAJOR IAW GMM 6-2-100, REV 117."
SWAA2013052316395,2013-01-05 00:00:00,5/23/2013 14:47:23,SWAA,SWAA,A,SW,29.0,A,5321.0,O,,,K,,,,IN,V,985AT,BOEING,717200,55090,32466.0,22212.0,,,,,,,,,,,,FLOOR PANEL,BZZ7002TYPE,,DELAMINATED,CABIN,,,,,,,,,,,,,,,813,889,,,,,,,,,22.0,L,44.0,L,,,,,,,"MAIN CABIN FLOOR PANEL 222 AMF DELAMINATED BETWEEN STA 813 TO STA 889, BETWEEN LBL 22 TO LBL 44. R & R FLOOR PANEL IAW SRM."
USAA2013052100015,4/23/2013 0:00:00,5/22/2013 13:20:22,USAA,USAA,A,EA,19.0,A,5320.0,O,,,K,,,,IN,V,665AW,AIRBUS,A320232,1644,42223.0,15383.0,,,,,,,,,,,AIRBUS,SILL,D53480043205,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,2.0,,"2S CHECK-LEVEL 2 GALVANIC CORROSION ON LOWER SILL AT RT AFT PASSENGER DOOR ENTRYWAY BETWEEN FR66 TO FR68, -Y1732. REPLACED LOWER SILL AT RT AFT PASSENGER DOOR ENTRYWAY IAW SRM 51-72-11, DWG D53470150, D53480505 & EA 504020."
AALA20130521018,5/21/2013 0:00:00,5/22/2013 15:08:36,AALA,AALA,A,SW,21.0,A,3350.0,L,,,K,,,,IN,C,176AA,BOEING,757223,32395,37408.0,11116.0,,,,,,,,,,,,LIGHT,,,INOPERATIVE,ZONE 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT NR 2 DOOR SLIDE LIGHT INOPERATIVE. REPLACED LAMP FOR LT NR 2 DOOR SLIDE LIGHT. OPS CHECK NORMAL.
UALA2013031201454,2013-12-03 00:00:00,3/14/2013 10:05:42,UALA,UALA,A,GL,33.0,A,3350.0,L,,,K,,,,IN,C,482UA,AIRBUS,A320232,1584,37087.0,16273.0,IAE,V2527A5,,,,,,,,,,BATTERY,20131A,,FAILED,EMERGENCY LIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/13/2013,"LEFT MID EMERGENCY LIGHT BATTERY FAILED EMERGENCY LIGHT TEST. REPLACED BATTERY IAW MM, TESTED GOOD."
USAA2013060300023,5/31/2013 0:00:00,2013-03-06 16:07:45,USAA,USAA,A,EA,19.0,A,5320.0,O,,,K,,,,IN,V,832AW,AIRBUS,A319132,1643,39241.0,16249.0,,,,,,,,,,,AIRBUS,TRAY,D5348001921795,,CRACKED,FUSELAGE,,,,,,,,,,,,,,,,,23,R,,,,,,,,,,,,,,1.0,,,"SY6 CHECK-CRACK ON TRAY BETWEEN FR68 TO FR69, S23R. REPLACED TRAY BETWEEN FR68 TO FR69, S23R IAW SRM 51-42-11 & 51-21-11."
UALA2013032601921,3/26/2013 0:00:00,3/29/2013 14:17:11,UALA,UALA,A,GL,33.0,A,3397.0,L,,,K,,,,IN,C,560UA,BOEING,757222,26660,72396.0,21275.0,PWA,PW2037,,,,,,,,,,CONNECTOR,,,UNSECURE,EMERGENCY LIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/27/2013,EMERGENCY LIGHTS AT SEATS 21-23ABC AND 25-26ABC ARE INOPERATIVE. SECURED CONNECTOR UNDER SEAT 24ABC. CHECKED LIGHTS AT 21-23 AND 24-25 ABC. CHECKED OKAY.
AALA20130530023,5/30/2013 0:00:00,2013-04-06 13:31:00,AALA,AALA,A,SW,21.0,A,2612.0,J,,,A,,,,CR,O,197AN,BOEING,757223,32391,37321.0,11179.0,,,,,,,,,,,,CONTROL PANEL,,,FAILED,FIRE WARNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPEAT: CREW REPORTED NO INFLIGHT RESTART OF LT ENGINE. LT ENGINE VALVE DISCRETE REMAINED ILLUMINATED AFTER MOVING FUEL CONTROL SWITCH TO RUN WITH NO FUEL FLOW OBSERVED. SINGLE ENGINE TIME 32 MINUTES. FLIGHT LANDED WITHOUT INCIDENT. REPLACED FIRE CONTROL PANEL. SYSTEM GROUND CHECK NORMAL OPERATION.
UALA2013041002443,2013-07-04 00:00:00,5/15/2013 17:59:37,UALA,UALA,A,GL,33.0,A,3246.0,O,,,K,,,,IN,V,662UA,BOEING,767322,27159,86205.0,13691.0,PWA,PW4060,,,,,,,,,,BOLT,,,FAILED,NR 3 WHEEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10-04 00:00:00,NR 3 FRONT BRAKE UNIT HAS SUSTAINED DAMAGE FROM BROKEN WHEEL TIE BOLT. REPLACED BRAKE UNIT.
SWAA2013061016981,5/28/2013 0:00:00,2013-12-06 06:33:43,SWAA,SWAA,A,SW,29.0,A,5321.0,O,,,K,,,,IN,V,974AT,BOEING,717200,55034,34007.0,22482.0,,,,,,,,,,,,FLOOR PANEL,5914489,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,780,,,,,,,,,,44.0,L,,,,,,,,,"FLOOR PANEL EDGE CORRODED AT STA 780, LBL 44.5. REPAIRED PANEL IAW SRM."
SWAA2013061217088,5/29/2013 0:00:00,2013-12-06 15:19:51,SWAA,SWAA,A,SW,29.0,A,5321.0,O,,,K,,,,IN,V,603AT,BOEING,717200,55127,31443.0,27043.0,,,,,,,,,,,,FLOORBOARD,5914489,,DELAMINATED,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAX CABIN FLOORBOARD NR 222ATF DELAMINATED. R & R PANEL IAW SRM.
SWAA2013061717174,5/31/2013 0:00:00,6/17/2013 12:33:53,SWAA,SWAA,A,SW,29.0,A,5321.0,O,,,K,,,,IN,V,603AT,BOEING,717200,55127,31443.0,27043.0,,,,,,,,,,,,FLOOR PANEL,5914489,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,323,389,,,,,,,,,44.0,R,,,,,,,,,"FLOOR PANEL CORRODED BETWEEN STA 323 TO STA 389, RBL 44.5. REPAIRED PANEL IAW SRM."
SWAA2013061717153,5/29/2013 0:00:00,6/17/2013 12:33:53,SWAA,SWAA,A,SW,29.0,A,5321.0,O,,,K,,,,IN,V,603AT,BOEING,717200,55127,31443.0,27043.0,,,,,,,,,,,,FLOORBOARD,5914489,,DELAMINATED,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAX CABIN FLOORBOARD NR 22PF DELAMINATED. R & R PANEL IAW SRM.
UIEA2015052200281,5/22/2015 0:00:00,5/22/2015 12:08:57,UIEA,UIEA,A,EA,15.0,A,3350.0,L,,,K,,,,IN,C,465MC,BOEING,747446,24784,88279.0,16957.0,,,,,,,,,,,,LIGHT,OL3071BPEGPL,,INOPERATIVE,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGENCY LIGHT INOPERATIVE AT SEAT 40C & 41C. REPLACED LAMPS AT SEAT 40C & 41C IAW AMM 33-51-12.
CA141010019,2014-09-10 00:00:00,2015-12-03 10:00:20,,,W,SW,99.0,G,3230.0,O,,,O,,,,DE,9,,DHAV,DHC5A,,19146.0,,,,,,,,,,,,,SWITCH,34TS13,,WORN,LANDING GEAR,19521.0,,19521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(CAN) LANDING GEAR WOULD NOT EXTEND NORMALLY, FLT CREW HAD TO USE MANUAL EXTENSION TO EXTEND THE LANDING GEAR. THE LANDING GEAR SELECTOR HANDLE HAS A GUIDE HOLE THAT ALLOWS FOR THE TOGGLE OF THE LANDING GEAR SELECTOR SWITCH TO BE INSERTED IN. UPON INSPECTION THIS TOGGLE BECAME DISLODGED FROM THE LANDING GEAR SELECTOR HANDLE AND WOULD NOT ALLOW THE LANDING GEAR TO BE SELECTED DOWN. MAINTENANCE FOUND EXCESSIVE PLAY IN THE TOGGLE SWITCH AND REPLACED IT."
UALA2013052803641,5/27/2013 0:00:00,2013-12-07 14:19:54,UALA,UALA,A,GL,33.0,A,3397.0,L,,,K,,,,IN,C,105UA,BOEING,747451,26473,77161.0,9059.0,PWA,PW4056,,,,,,,,,,FEEDER CABLE,794640,,INOPERATIVE,EMERGENCY LIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMERGENCY LIGHT INOPERATIVE. REPLACED EMERGENCY LIGHT FEEDER CABLE, OPS CHECKED OK."
USAA2013061400020,2013-12-06 00:00:00,6/20/2013 16:54:18,USAA,USAA,A,EA,19.0,A,2560.0,O,,,K,,,,IN,V,936UW,BOEING,7572B7,27244,61993.0,24584.0,,,,,,,,,,,,PROXIMITY SENSOR,81020401AEC,,FAILED,L1 DOOR SLIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/14/2013,"C4 CHECK, L1 DOOR , GIRT BAR ENGAGEMENT SLIDE LIGHT TRIPS CIRCUIT BREAKER WHEN SLIDE IS ARMED, LIGHT INOPERATIVE. REPLACED NR 1 PASSENGER DOOR GIRT BAR PROXIMITY SENSOR A 510214 IAW AMM 25-66-11. DOOR GIRT SLIDER INDICATOR LIGHT, OPS CHECKED NORMAL IAW AMM 25-66-11."
SWIA201333878,6/14/2013 0:00:00,2013-05-07 15:59:08,SWIA,SWIA,A,NM,6.0,A,5230.0,O,,,K,,,,IN,V,917SW,CNDAIR,CL6002B19,7641,29700.0,24718.0,,,,,,,,,,,,SKIN,,,CHAFED,CARGO DOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARGO DOOR EXTERNAL SKIN UPPER CENTER CHAFED. C-CHECK REPAIRED CARGO DOOR EXTERNAL SKIN UPPER CENTER IAW REO.
MASA2014022530952,2/25/2014 0:00:00,2/25/2014 13:24:42,MASA,MASA,A,WP,37.0,A,3350.0,O,,,O,,,,NR,9,919FJ,CNDAIR,CL6002D24,15019,24956.0,20472.0,,,,,,,,,,,,LIGHT,,,MALFUNCTIONED,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGENCY LIGHTS CYCLES ON & OFF IN ARMED. REPLACED PCB5 IN JB11.
SWIA201334072,2013-07-07 00:00:00,7/26/2013 16:48:54,SWIA,SWIA,A,NM,6.0,A,5753.0,O,,,K,,,,IN,V,912EV,CNDAIR,CL6002B19,7728,25157.0,20964.0,,,,,,,,,,,,SKIN,,,CHAFED,TE FLAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT INBD FLAP CHAFE ON UPPER SKIN DOUBLER UNDER PANEL 584AB. C-CHECK REPAIRED AREA UNDER INBD FLAP PANEL 584AB IAW REO.
REXA2013061701194,6/17/2013 0:00:00,6/19/2013 15:22:38,REXA,REXA,A,CE,21.0,A,5310.0,O,,,K,,,,IN,V,8698A,CNDAIR,CL6002B19,7698,22545.0,20242.0,,,,,,,,,,,,STOWAGE BOX,,,BROKEN,COCKPIT OXYGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST OFFICER OXYGEN STOWAGE BOX BROKEN. R & R STOWAGE BOX IAW AMM 35-11-04. CHECKED GOOD.
SWAA2013081919309,2013-09-07 00:00:00,8/19/2013 14:12:37,SWAA,SWAA,A,SW,29.0,A,5321.0,O,,,K,,,,IN,V,990AT,BOEING,717200,55134,33548.0,22111.0,,,,,,,,,,,,FLOORBOARD,5930540,,DELAMINATED,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CABIN FLOORBOARD 221 UF DELAMINATED. R&R FLOOR PANEL IAW AMM & SRM.
SWAA2013081919316,8/16/2013 0:00:00,8/19/2013 14:12:37,SWAA,SWAA,A,SW,29.0,A,5350.0,O,,,K,,,,IN,V,977AT,BOEING,717200,55036,34181.0,22221.0,,,,,,,,,,,,SUPPORT BRACKET,9981474,,BROKEN,FUSELAGE,,,,,,,,,,,,,,,636,,19,L,,,,,,,,,,,,,,,,,"WING TO BODY FAIRING RIB SUPPORT BRACKET BROKEN AT STATION 636, LONGERON 19L. R&R BRACKET IAW SRM."
AALA20130827005,8/26/2013 0:00:00,8/28/2013 11:31:25,AALA,AALA,A,SW,21.0,A,3397.0,L,,,K,,,,IN,C,938AN,BOEING,737823,29533,38835.0,16078.0,,,,,,,,,,,,CONNECTOR,,,LOOSE,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEAT 19D EMERGENCY LIGHT INOPERATIVE. RECONNECTED LOOSE CONNECTOR. OPERATIONS CHECKED NORMAL.
REXA2013070101265,2013-01-07 00:00:00,2013-12-07 13:13:26,REXA,REXA,A,CE,21.0,A,5320.0,O,,,K,,,,IN,9,906XJ,CNDAIR,CL6002D24,15138,14381.0,9340.0,,,,,,,,,,,,DIAPHRAGM,,,CORRODED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT CENTER DIAPHRAM CORRODED. R & R LT INBD DIAPHRAM IAW SRM 51-42-06.
CALA2013090290942,8/30/2013 0:00:00,2013-03-09 17:02:30,CALA,CALA,A,GL,33.0,A,5321.0,O,,,K,,,,IN,V,457UA,AIRBUS,A320232,1146,44943.0,18742.0,IAE,V2527A5,,,,,,,,,,FLOOR PANEL,,,PUNCTURED,CARGO BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAMP FOUND 1X1 INCH SQUARE PUNCTURE AFT PIT MAIN FLOOR PANEL AFT OF CARGO DOOR. PUNCTURE TAPED OVER PER MT-53-007.
SWAA2013090419852,7/24/2013 0:00:00,2013-04-09 13:11:26,SWAA,SWAA,A,SW,29.0,A,5313.0,O,,,K,,,,IN,V,669SW,BOEING,7373A4,23752,76701.0,61326.0,,,,,,,,,,,,STRINGER SPLICE,6545775,,CRACKED,FUSELAGE,,,,,,,,,,,,,,,727,,25,R,,,,,,,,,,,,,,,,,"STRINGER SPLICE CRACKED AT BS 727, STRINGER 25R. R&R SPLICE IAW SRM & DRAWING."
USAA2013072500001,7/15/2013 0:00:00,7/25/2013 16:24:41,USAA,USAA,A,EA,19.0,A,5410.0,O,,,K,,,,IN,V,180US,AIRBUS,A321211,1525,42373.0,15525.0,,,,,,,,,,,AIRBUS,BEARING,D5463003800000,NSN,CORRODED,ZONE 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2S CHECK - CORROSION ON NR 2 PYLON SPIGOT BEARING AT PYLON STATION 7063, RIB 5. REPLACED 2 PYLON SPIGOT BEARING IAW AMM 54-51-41-400-001-A."
USAA2013072900024,2013-11-07 00:00:00,7/29/2013 16:09:38,USAA,USAA,A,EA,19.0,A,5347.0,O,,,K,,,,IN,V,182UW,AIRBUS,A321211,1536,41989.0,15331.0,,,,,,,,,,,AIRBUS,SEAT TRACK,D53231743200,,CORRODED,ZONE 100,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,2.0,,"DURING 2S CHECK, FOUND CORROSION ON SEAT TRACK AT FR24+40"", -Y765. REPLACED SEAT TRACK IAW SRM 51-72-11, DWG D53234930 AND D53212227."
A6WA2013073141111,7/29/2013 0:00:00,7/31/2013 14:43:13,A6WA,A6WA,A,GL,31.0,A,5520.0,O,,,O,,,,NR,9,408AW,CNDAIR,CL6002B19,7568,27977.0,26352.0,,,,,,,,,,,,SKIN,,,DAMAGED,RT ELEVATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT ELEVATOR UPPER L/E IS BENT UP IN THREE PLACES OVER HINGE AND HORIZONAL STAB AERODYNAMIC SEAL DAMAGED. REPAIRED ELEVATOR L/E IAW REO 601R-55-21-112. REPAIRED HORIZ STAB AERODYNAMICAL SEAL IAW REO 601R-55-12-531.
WX0A201308010048,7/25/2013 0:00:00,2013-01-08 12:38:49,WX0A,WX0A,A,WP,19.0,A,3350.0,L,,,K,,,,IN,C,874GA,DOUG,DC983,49643,,,,,,,,,,,,,,BATTERY PACK,AD4002P,,INOPERATIVE,EMERGENCY LIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING A ROUTINE OVERNIGHT SERVICE CHECK INSPECTION, MX REPORTED A PORTION OF THE EMERGENCY EVACUATION LIGHTING SYS WOULD NOT TEST. MX R & R BATTERY PACK AND OPS CHECK ACCOMPLISHED IAW AMM 33-50-00, SYS OPS CHECKED NORMAL. ACFT RETURNED TO SERVICE."
USAA2013080500001,2013-04-08 00:00:00,2013-05-08 09:08:05,USAA,USAA,A,EA,19.0,A,3350.0,O,,,K,,,,IN,V,282AY,AIRBUS,A330243,1069,16702.0,2241.0,,,,,,,,,,,AIRBUS,LENS,,,DETACHED,EMERGENCY LIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMERGENCY LIGHT AT L3 DOOR MISSING LENS. MX FOUND LENS UNDER SEAT. INSTALLED LENS, OPS CHECKED GOOD."
AALA20130911012,2013-11-09 00:00:00,9/13/2013 15:51:39,AALA,AALA,A,SW,21.0,A,5320.0,O,,,K,,,,IN,V,9620D,DOUG,DC983,53591,46876.0,22203.0,,,,,,,,,,,,PAN,,,CRACKED,FUSELAGE,,,,,,,,,,,,,,,1041,,,,,,,,,,,,,,,,,1.0,,,"CRACK AT LT HAND WINDOW PAN UPPER AFT CLIP, STATION 1041. INSTALLED REPAIR DOUBLER & SHIM IAW AARD 53-10-00-25."
SWIA201334575,8/22/2013 0:00:00,9/16/2013 16:37:34,SWIA,SWIA,A,NM,6.0,A,5347.0,O,,,K,,,,IN,V,756SK,CNDAIR,CL6002C10,10221,24884.0,14829.0,,,,,,,,,,,,SEAT TRACK,,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,935,,,,,,,,,,,,,,,,,,,,LT CENTER SEAT RAIL HAS LIGHT CORROSION AT STATION FS-935. C-CHECK BLENDED & REWORKED LT CENTER SEAT RAIL FS 935 IAW REO.
SWIA201334598,8/30/2013 0:00:00,9/16/2013 16:37:34,SWIA,SWIA,A,NM,6.0,A,5320.0,O,,,K,,,,IN,V,758SK,CNDAIR,CL6002C10,10222,24680.0,14730.0,,,,,,,,,,,,SILL,,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFT BAGGAGE COMPARTMENT DOOR SILL CORRODED ENTIRE LENGTH. C-CHECK BLENDED CORROSION IAW REO.
REXA2013080701570,2013-07-08 00:00:00,2013-09-08 14:57:01,REXA,REXA,A,CE,21.0,A,2613.0,J,,,O,,,,CL,O,8884E,CNDAIR,CL6002B19,7884,21571.0,18846.0,,,,,,,,,,,,WARNING MESSAGE,,,FALSE ACTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AT 600 FT AGL ANTI-ICE DUCT MASTER WARNING. PERFORMED QRH MESSAGE WENT AWAY. AT ABOUT 2000 FT AGL MESSAGE RETURNED. PERFORMED QRH AND THE MASTER WARNING FOR RT 14TH DUCT DISPLAYED WITH 14TH STAGE BLEEDS CLOSED. QRH R 14TH DUCT PERFORMED. LANDED A REPLACED RT MODULATING/SHUTOFF VALVE IAW AMM 30-12-04. PERFORMED OPS CHECK OF VALVE IAW AMM 30-12-00. ALL CHECKS GOOD. PERFORMED OPS CHECK OF THE BLEED-AIR LEAK DETECTION/ WARNING SYSTEM IAW AMM 36-21-00. PERFORMED HIGH POWER RUN-UP IAW AMM 71-00-00. NO DEFECTS NOTED.
AALA20130915025,9/13/2013 0:00:00,9/25/2013 13:14:27,AALA,AALA,A,SW,21.0,A,3350.0,O,,,K,,,,IN,C,792AN,BOEING,777223,30253,53623.0,6951.0,,,,,,,,,,,,LIGHT,,,MISSING,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESCAPE PATH LIGHT AT SEAT 25G MISSING LAMP. REPLACED LAMP FOR ESCAPE PATH LIGHT AT SEAT 25G. OPERATIONS CHECKED NORMAL.
AALA20130917008,9/16/2013 0:00:00,9/26/2013 19:00:48,AALA,AALA,A,SW,21.0,A,3397.0,L,,,K,,,,IN,C,9677W,DOUG,DC983,53627,40128.0,19411.0,,,,,,,,,,,,CONNECTOR,,,DISCONNECTED,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGENCY LIGHT AT SEAT ROW 19D INOPERATIVE. FOUND CONNNECTOR OFF. RECONNECTED CONNECTOR. OPERATIONS CHECKED NORMAL.
CALA2013092391322,9/20/2013 0:00:00,9/27/2013 13:08:13,CALA,CALA,A,GL,33.0,A,5730.0,K,,,K,,,,IN,O,829UA,AIRBUS,A319131,1211,45600.0,18404.0,IAE,V2522A5,,,,,,,,,,DOME NUT,,,DAMAGED,RT WING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ACCESS PANEL 640LB ON RT WING IS DRIPPING FUEL. REPLACED TWO EACH DOME NUTS, INSTALLED NEW PANEL SEAL & CORRECT GRIP BOLT'S IAW MM 57-27-11. LEAKED CHECKED GOOD."
USAA2013082200012,8/21/2013 0:00:00,8/22/2013 14:59:32,USAA,USAA,A,EA,19.0,A,3350.0,L,,,K,,,,IN,C,942UW,BOEING,7572B7,27807,61929.0,23050.0,,,,,,,,,,,,LIGHT,,,INOPERATIVE,EXTERIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L4 DOOR OUTSIDE EMERGENCY LIGHT WILL NO ILLUMINATE. R & R EMERGENCY LIGHT. OPS CHECKED GOOD.
ASOA2013082608907,8/22/2013 0:00:00,8/26/2013 13:24:52,ASOA,ASOA,A,SO,65.0,A,2560.0,O,,,K,,,,IN,V,752EV,CNDAIR,CL6002C10,10166,21568.0,15069.0,,,,,,,,,,,,GLOWSTRIP,,,MISSING,,996240.0,,996240.0,O,,,,,,,,,996240.0,O,,,,,,,,,,,,,,,,,,,,,"GALLEY FLOOR PHOTOLUMINESCENT STRIP MISSING, CABIN EMERGENCY LIGHTS: PHOTOLUMINESCENT FLOOR PROXIMITY EMERGENCY ESCAPE PATH MARKING SYS STRIP/TAPE, INSTALLED NEW PHOTO LUMINESENT FLOOR SRTRIPS IN GALLEY IAW AMM 33-51-01. ALL CHECKS GOOD AT THIS TIME. DMIL CLEARED. PLACARD REMOVED."
USAA2013082600028,8/23/2013 0:00:00,8/26/2013 14:49:27,USAA,USAA,A,EA,19.0,A,2560.0,O,,,O,,,,CR,9,183UW,AIRBUS,A321211,1539,42275.0,15595.0,,,,,,,,,,,AIRBUS,GIRT BAR,D5211129001299,,OUT OF ADJUST,ZONE 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R4 DOOR PRESSURE DIFFERENTIAL LIGHT ILLUMINATED RED IN FLIGHT. DOOR NO LONGER SHOWS ARMED ON THE ECAM DOOR PAGE. GIRT BAR OUT OF ADJUSTMENT.
SWAA2013100720823,9/20/2013 0:00:00,2013-07-10 10:49:34,SWAA,SWAA,A,SW,29.0,A,5321.0,O,,,K,,,,IN,V,980AT,BOEING,717200,55039,33237.0,21392.0,,,,,,,,,,,,FLOOR PANEL,BZZ7002TYPE3,,DELAMINATED,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIN CABIN FLOOR PANEL NR 221UF DELAMINATED. R & R PANEL IAW SRM.
AALA20130929003,9/29/2013 0:00:00,2013-07-10 15:15:17,AALA,AALA,A,SW,21.0,A,5320.0,O,,,K,,,,IN,V,978AN,BOEING,737823,30100,36640.0,14991.0,,,,,,,,,,,,FLOOR SUPPORT,146A9401U21,,CORRODED,FUSELAGE,,,,,,,,,,,,,,,887,,,,,,,,,,,,,,,,,,2.0,,CORROSION ON FLOORBOARD SUPPORT AT BS 887. R & R FLOORBOARD SUPPORT.
ASOA2013082908930,8/16/2013 0:00:00,8/29/2013 14:06:41,ASOA,ASOA,A,SO,65.0,A,5320.0,O,,,K,,,,IN,E,391CA,CNDAIR,CL6002C10,10108,24867.0,17705.0,,,,,,,,,,,,STRUCTURE,,,CRACKED,E/E BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FORWARD EQUIPMENT COMPARTMENT, RT SIDE AFT CORNER, CRACKED, GOING UNDER ADG HYD PUMP. REPAIRED IAW AMM 24-23-19-000-801 AND REO 670-53-11-509."
DALA13043583140,2013-06-09 00:00:00,2013-10-09 15:28:00,DALA,DALA,A,SO,27.0,A,5321.0,O,,,K,,,,IN,V,340NB,AIRBUS,A319114,1714,31510.0,16267.0,,,,,,,,,,,,FLOOR PANEL,,,DAMAGED,AFT CARGO BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AFT CARGO BAY SLOPE PANEL 152UG HAS MULTIPLE DENTS & CRACKED. SLOPE PANEL FABRICATED IAW SRM 53-02-00, FIG 209 AND DWG 3D25-40532."
ASAA2013091495976,9/14/2013 0:00:00,9/16/2013 16:43:50,ASAA,ASAA,A,NM,2.0,A,3610.0,J,,,A,,,,CL,O,516AS,BOEING,737890,39044,18378.0,5729.0,,,,,,,,,,,,VALVE,32895625,10227,FAILED,NR 2 PRECOOLER,24265.0,7583.0,5643.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BLEED TRIP OFF LIGHT ILLUMINATED AFTER 28 PSI SPLIT ON CLIMB WILL NOT EXTINGUISH. ACFT GROUNDED. FOUND PRECOOLER CONTROL VALVE LOOSE AND SHEARED SHAFT, REPLACED VALVE REF AMM 36-12-02-400-801, INSTALLATION TEST GOOD. ACCOMPLISHED HEALTH CHECK T/C NG- 36WC-00001, NO DEFECTS NOTED. ACCOMPLISHED ENGINE BLEED AIR CROSSOVER OPS TEST IAW AMM 36-11-00-710-801 NR 2 ENGINE , ALL PARAMETERS NORMAL."
